location,temp,clouds,pressure,rain,humidity,wind
Back Bay,39.082122370936894,0.678432122370937,1008.4478202676859,0.007925239005736136,0.764072657743786,6.778527724665383
Beacon Hill,39.04728489483753,0.6778011472275339,1008.4483556405356,0.008297131931166346,0.7650478011472277,6.8103250478011494
Boston University,39.04774378585083,0.6792351816443598,1008.4592543021035,0.0077378585086042085,0.7637858508604204,6.692179732313579
Fenway,38.96437858508601,0.6798661567877631,1008.4532887189303,0.007343021032504782,0.7672657743785855,6.711720841300193
Financial District,39.41082217973236,0.6767304015296374,1008.4357934990431,0.008563479923518164,0.7548374760994259,6.860019120458891
Haymarket Square,39.067896749521985,0.6767112810707461,1008.4452390057361,0.008659847036328867,0.7648374760994262,6.843193116634804
North End,39.09084130019119,0.6767304015296371,1008.4419120458894,0.008643977055449326,0.7640535372848946,6.8531166347992345
North Station,39.03531548757167,0.6769980879541119,1008.4428107074567,0.00864894837476099,0.7655449330783938,6.835755258126191
Northeastern University,38.975086042064994,0.6783173996175913,1008.444168260039,0.00735755258126195,0.7676481835564057,6.749426386233272
South Station,39.39409177820272,0.6774952198852778,1008.4380305927333,0.008310133843212239,0.7554684512428286,6.848948374760993
Theatre District,38.98671128107077,0.6777629063097517,1008.4447418738044,0.008404588910133839,0.767992351816443,6.834302103250482
West End,38.9834034416826,0.6772466539196947,1008.4410898661571,0.008657361376673039,0.7672657743785855,6.816233269598474
